"Cell age","Growth","Growth rate","Absolute position","Relative position"
10.96,7.799041,0.039298,282.433296,0.398326
10.96,4.287289,0.023244,286.586727,0.404184
10.96,6.066563,0.032155,291.926852,0.411715
10.96,6.403905,0.042201,290.14681,0.409205
10.96,7.873094,0.044045,293.706894,0.414226
10.96,4.92008,0.045943,295.486936,0.416736
10.96,3.218204,0.018679,301.420408,0.425105
10.96,5.413054,0.043234,306.760534,0.432636
10.96,6.216835,0.059181,302.607103,0.426778
10.96,5.288784,0.049097,301.420408,0.425105
10.96,6.518899,0.022545,304.387145,0.429289
10.96,5.146837,0.022995,299.047019,0.421757
10.96,4.890695,0.034527,307.353881,0.433473
10.96,5.059023,0.042559,309.133923,0.435983
10.96,6.030259,0.032797,318.627479,0.449372
10.96,5.418604,0.03676,312.100659,0.440167
10.96,3.880342,0.046248,317.440784,0.447699
10.96,3.685517,0.044601,319.814173,0.451046
10.96,7.058821,0.033748,322.187562,0.454393
10.96,5.475968,0.065311,327.527688,0.461925
10.96,5.683224,0.033347,325.154299,0.458577
10.96,6.786522,0.036748,326.934341,0.461088
10.96,5.825664,0.032619,332.274466,0.468619
10.96,6.926301,0.062126,334.647855,0.471967
10.96,4.401941,0.041774,332.274466,0.468619
10.96,7.12375,0.032781,338.801286,0.477824
10.96,5.198651,0.037344,338.207938,0.476987
10.96,8.615291,0.035863,338.207938,0.476987
10.96,4.595359,0.040762,342.361369,0.482845
10.96,6.794961,0.04585,344.734758,0.486192
10.96,4.018639,0.063281,347.108147,0.48954
10.96,7.694121,0.025258,350.668231,0.494561
10.96,2.820229,0.020633,349.481536,0.492887
10.96,9.394553,0.034977,348.888189,0.49205
10.96,5.123306,0.05391,357.788398,0.504603
10.96,2.555457,0.012432,362.535176,0.511297
10.96,7.787903,0.043931,364.908565,0.514644
10.96,3.654763,0.03654,358.975093,0.506276
10.96,6.913681,0.048229,365.501912,0.515481
10.96,7.764182,0.047278,369.655343,0.521339
10.96,8.030854,0.037678,371.435385,0.523849
10.96,11.148623,0.035732,367.281954,0.517992
10.96,3.749458,0.014071,374.995469,0.52887
10.96,4.776157,0.031544,377.962205,0.533054
10.96,3.585653,0.041298,382.708983,0.539749
10.96,7.300441,0.035675,385.675719,0.543933
10.96,8.282929,0.037455,380.335594,0.536402
10.96,3.588276,0.018877,390.422497,0.550628
10.96,8.371617,0.038215,394.575928,0.556485
10.96,6.112751,0.047848,399.916054,0.564017
10.96,2.970348,0.020305,400.509401,0.564854
10.96,2.803312,0.012107,408.816262,0.576569
10.96,1.85519,0.014798,419.496513,0.591632
10.96,5.919941,0.033733,427.803375,0.603347
10.96,9.666965,0.043267,443.230404,0.625105
10.96,3.846015,0.02546,434.923542,0.613389
10.96,9.476968,0.03659,447.383834,0.630962
10.96,7.35351,0.035642,460.437474,0.649372
10.96,2.545763,0.016343,475.271156,0.670293
12.2,9.924969,0.040039,18.512875,0.032423
12.2,11.23945,0.049752,54.077081,0.09471
12.2,3.382764,0.018615,39.461654,0.069113
12.2,14.083974,0.034732,71.128413,0.124573
12.2,14.083974,0.034732,71.128413,0.124573
12.2,13.279197,0.030154,106.205439,0.186007
12.2,17.056337,0.069276,108.641343,0.190273
12.2,11.957598,0.029498,127.641399,0.223549
12.2,10.581228,0.039127,126.667037,0.221843
12.2,24.421774,0.065368,125.692675,0.220137
12.2,5.683904,0.02959,130.564484,0.228669
12.2,8.387418,0.035227,144.692731,0.253413
12.2,6.586585,0.029936,139.820922,0.244881
12.2,15.174331,0.022867,153.461987,0.268771
12.2,4.39669,0.045106,154.92353,0.271331
12.2,8.670465,0.028976,157.846616,0.276451
12.2,7.392315,0.028548,169.538957,0.296928
12.2,12.651485,0.034674,176.35949,0.308874
12.2,4.615214,0.029712,178.308214,0.312287
12.2,5.658955,0.045946,182.692842,0.319966
12.2,11.605127,0.023936,184.154385,0.322526
12.2,6.765252,0.037026,184.641566,0.323379
12.2,3.630811,0.020774,195.359546,0.34215
12.2,6.459479,0.027809,196.333908,0.343857
12.2,5.723794,0.036083,198.769812,0.348123
12.2,2.814065,0.026679,196.821089,0.34471
12.2,9.970303,0.020979,208.51343,0.365188
12.2,7.236701,0.04152,199.256993,0.348976
12.2,4.845413,0.024234,207.051888,0.362628
12.2,7.648484,0.040408,211.436516,0.370307
12.2,5.13207,0.053297,208.51343,0.365188
12.2,5.526655,0.03393,214.846782,0.37628
12.2,6.448796,0.03811,217.282687,0.380546
12.2,3.937249,0.065886,215.821144,0.377986
12.2,9.708047,0.036853,223.616039,0.391638
12.2,6.086938,0.032965,225.564762,0.395051
12.2,5.510122,0.036967,226.539124,0.396758
12.2,5.573996,0.036371,231.898114,0.406143
12.2,5.54383,0.028096,238.231466,0.417235
12.2,3.282276,0.041368,235.795561,0.412969
12.2,3.601,0.035626,232.872476,0.40785
12.2,5.156375,0.035618,232.385295,0.406997
12.2,5.962433,0.03453,237.257104,0.415529
12.2,6.072352,0.036,242.616094,0.424915
12.2,3.549118,0.030671,247.975084,0.4343
12.2,4.513411,0.038183,244.077637,0.427474
12.2,3.721298,0.043526,245.53918,0.430034
12.2,4.408998,0.029747,243.590456,0.426621
12.2,5.177127,0.036155,247.975084,0.4343
12.2,5.840522,0.037013,246.513542,0.431741
12.2,10.92714,0.022977,240.667371,0.421502
12.2,5.855751,0.030113,254.795617,0.446246
12.2,5.780534,0.033856,252.846893,0.442833
12.2,3.463532,0.057522,253.334074,0.443686
12.2,11.004703,0.053079,250.89817,0.43942
12.2,7.228246,0.02684,253.334074,0.443686
12.2,2.000556,0.037207,252.359712,0.44198
12.2,4.62267,0.029299,259.180245,0.453925
12.2,7.4024,0.057304,259.667426,0.454778
12.2,4.808789,0.03331,259.180245,0.453925
12.2,5.450128,0.029721,266.487959,0.466724
12.2,4.255635,0.031268,262.590512,0.459898
12.2,7.528819,0.02806,274.770034,0.481229
12.2,7.219503,0.032002,267.949502,0.469283
12.2,5.508503,0.039317,266.487959,0.466724
12.2,8.513221,0.034238,270.872587,0.474403
12.2,5.290921,0.026581,273.795673,0.479522
12.2,5.416425,0.047766,267.949502,0.469283
12.2,5.006904,0.039029,275.744396,0.482935
12.2,6.39464,0.03244,276.231577,0.483788
12.2,11.935865,0.027126,273.308492,0.478669
12.2,5.573664,0.03001,281.590567,0.493174
12.2,5.52763,0.036588,277.69312,0.486348
12.2,6.905315,0.031345,278.180301,0.487201
12.2,9.753443,0.038109,290.359824,0.508532
12.2,6.366759,0.034381,286.462376,0.501706
12.2,5.583388,0.028438,294.257271,0.515358
12.2,5.820413,0.032319,296.205995,0.518771
12.2,5.573996,0.036371,292.795728,0.512799
12.2,5.835981,0.035838,290.359824,0.508532
12.2,5.747463,0.03493,291.334185,0.510239
12.2,8.214212,0.01743,297.180356,0.520478
12.2,1.375411,0.016741,297.180356,0.520478
12.2,10.677513,0.032907,292.308547,0.511945
12.2,8.490218,0.047882,297.667537,0.521331
12.2,7.524627,0.042629,304.000889,0.532423
12.2,7.488618,0.030115,299.616261,0.524744
12.2,10.100353,0.027742,310.334241,0.543515
12.2,6.747106,0.04882,303.513708,0.53157
12.2,5.363223,0.024917,309.359879,0.541809
12.2,11.190139,0.034528,311.308603,0.545222
12.2,5.584042,0.032045,314.718869,0.551195
12.2,6.095704,0.042725,319.590678,0.559727
12.2,7.438692,0.034067,322.026583,0.563993
12.2,6.211765,0.030016,320.56504,0.561433
12.2,5.811331,0.030564,330.308658,0.578498
